Scholarship name, Amount Rewarded, Deadline, Disbursment Date, Required Info, Preffered Majors
Scholarship40,1196,2019-06-14,2020-10-06, Info, Major
Scholarship44,1286,2014-11-20,2020-12-11, Info, Major
Scholarship48,1336,2020-07-05,2020-08-03, Info, Major
Scholarship78,781,2021-11-22,2020-06-14, Info, Major
Scholarship96,2477,2017-11-18,2020-08-03, Info, Major
Scholarship106,2211,2014-02-07,2020-05-02, Info, Major
Scholarship108,1166,2023-05-07,2020-07-12, Info, Major
Scholarship113,1612,2020-11-23,2020-01-10, Info, Major
Scholarship139,1970,2023-06-02,2020-07-23, Info, Major
Scholarship143,1711,2015-05-19,2020-08-10, Info, Major
Scholarship153,685,2023-04-03,2020-07-18, Info, Major
Scholarship164,586,2018-05-05,2020-01-24, Info, Major
Scholarship180,2450,2021-10-07,2020-02-08, Info, Major
Scholarship183,968,2019-03-02,2020-02-18, Info, Major
Scholarship186,1830,2015-10-08,2020-06-20, Info, Major
Scholarship194,1388,2022-04-24,2020-12-20, Info, Major
Scholarship196,2187,2021-03-10,2020-09-03, Info, Major
Scholarship206,590,2024-09-04,2020-06-03, Info, Major
Scholarship227,683,2017-06-12,2020-10-27, Info, Major
Scholarship238,1307,2020-11-28,2020-10-11, Info, Major
Scholarship272,2349,2015-11-18,2020-07-14, Info, Major
Scholarship278,2261,2021-05-02,2020-12-07, Info, Major
Scholarship279,1795,2021-01-03,2020-08-12, Info, Major
Scholarship289,2069,2024-01-09,2020-01-16, Info, Major
Scholarship302,1019,2024-06-25,2020-02-28, Info, Major
Scholarship303,1080,2016-04-20,2020-11-06, Info, Major
Scholarship310,1443,2016-12-28,2020-07-03, Info, Major
Scholarship312,901,2017-03-14,2020-11-05, Info, Major
