Scholarship name, Amount Rewarded, Deadline, Disbursment Date, Required Info, Preffered Majors
Scholarship6,1875,2022-02-02,2015-05-06, Info, Major
Scholarship8,2435,2024-08-18,2015-11-13, Info, Major
Scholarship15,765,2022-01-23,2015-05-26, Info, Major
Scholarship74,2253,2020-02-16,2015-10-24, Info, Major
Scholarship80,1997,2022-04-06,2015-01-26, Info, Major
Scholarship85,606,2022-08-15,2015-11-12, Info, Major
Scholarship86,1336,2016-04-20,2015-03-04, Info, Major
Scholarship87,1054,2017-06-24,2015-07-17, Info, Major
Scholarship88,1098,2017-06-11,2015-01-06, Info, Major
Scholarship94,874,2018-02-08,2015-02-19, Info, Major
Scholarship116,653,2021-02-14,2015-05-14, Info, Major
Scholarship123,517,2021-07-26,2015-01-24, Info, Major
Scholarship130,1759,2024-04-20,2015-06-15, Info, Major
Scholarship150,1738,2020-11-10,2015-03-24, Info, Major
Scholarship156,1352,2022-07-02,2015-11-09, Info, Major
Scholarship160,1920,2023-05-27,2015-04-18, Info, Major
Scholarship169,2248,2018-10-05,2015-07-19, Info, Major
Scholarship178,1649,2017-02-11,2015-04-09, Info, Major
Scholarship203,2168,2022-01-11,2015-07-12, Info, Major
Scholarship229,2364,2017-06-04,2015-02-05, Info, Major
Scholarship235,1370,2016-11-13,2015-02-20, Info, Major
Scholarship248,1646,2016-03-14,2015-10-19, Info, Major
Scholarship250,2169,2014-02-02,2015-12-01, Info, Major
Scholarship260,1673,2019-05-12,2015-08-25, Info, Major
Scholarship271,1237,2017-04-18,2015-10-16, Info, Major
Scholarship281,745,2019-06-08,2015-05-22, Info, Major
Scholarship287,2371,2020-09-08,2015-04-19, Info, Major
Scholarship294,1953,2023-01-28,2015-12-14, Info, Major
