Scholarship name, Amount Rewarded, Deadline, Disbursment Date, Required Info, Preffered Majors
Scholarship23,1626,2018-06-24,2017-09-08, Info, Major
Scholarship35,2097,2018-12-16,2017-11-21, Info, Major
Scholarship36,797,2020-10-25,2017-02-05, Info, Major
Scholarship52,820,2016-07-09,2017-03-13, Info, Major
Scholarship60,1530,2019-03-22,2017-10-17, Info, Major
Scholarship68,1665,2022-07-09,2017-09-17, Info, Major
Scholarship82,700,2016-04-09,2017-11-28, Info, Major
Scholarship102,1907,2024-12-15,2017-07-21, Info, Major
Scholarship105,807,2016-06-13,2017-06-07, Info, Major
Scholarship109,2000,2018-11-05,2017-12-21, Info, Major
Scholarship110,1506,2017-02-18,2017-04-07, Info, Major
Scholarship119,1509,2014-07-02,2017-10-16, Info, Major
Scholarship162,962,2019-06-04,2017-06-22, Info, Major
Scholarship170,1214,2022-10-15,2017-02-12, Info, Major
Scholarship182,1621,2018-01-15,2017-07-13, Info, Major
Scholarship223,2266,2016-11-12,2017-07-28, Info, Major
Scholarship236,1505,2022-12-01,2017-02-09, Info, Major
Scholarship252,607,2023-10-24,2017-05-11, Info, Major
Scholarship253,1829,2023-12-28,2017-02-07, Info, Major
Scholarship257,672,2017-01-26,2017-02-03, Info, Major
Scholarship277,2175,2019-02-11,2017-11-02, Info, Major
Scholarship286,2236,2020-05-27,2017-10-17, Info, Major
Scholarship290,1937,2022-09-26,2017-11-20, Info, Major
Scholarship291,1835,2024-02-18,2017-07-26, Info, Major
Scholarship298,1186,2020-11-26,2017-09-18, Info, Major
Scholarship314,1793,2022-10-09,2017-06-14, Info, Major
