Scholarship name, Amount Rewarded, Deadline, Disbursment Date, Required Info, Preffered Majors
Scholarship5,646,2016-10-06,2019-02-23, Info, Major
Scholarship24,1389,2014-10-26,2019-10-09, Info, Major
Scholarship27,1309,2023-10-02,2019-07-28, Info, Major
Scholarship47,1093,2021-09-17,2019-04-02, Info, Major
Scholarship89,2496,2016-06-28,2019-12-12, Info, Major
Scholarship91,1152,2021-12-08,2019-04-28, Info, Major
Scholarship93,1720,2020-05-07,2019-06-27, Info, Major
Scholarship101,1792,2021-05-19,2019-03-06, Info, Major
Scholarship127,2431,2021-08-06,2019-10-02, Info, Major
Scholarship137,1641,2014-05-04,2019-02-17, Info, Major
Scholarship146,509,2023-07-04,2019-03-17, Info, Major
Scholarship154,2429,2022-05-04,2019-08-16, Info, Major
Scholarship163,910,2019-11-21,2019-09-23, Info, Major
Scholarship184,1871,2024-05-16,2019-08-02, Info, Major
Scholarship185,1759,2020-06-25,2019-10-02, Info, Major
Scholarship190,1961,2016-09-13,2019-10-12, Info, Major
Scholarship191,698,2018-11-27,2019-04-28, Info, Major
Scholarship201,1148,2019-10-16,2019-03-23, Info, Major
Scholarship212,1976,2019-09-14,2019-04-26, Info, Major
Scholarship214,1698,2016-01-13,2019-07-03, Info, Major
Scholarship224,1102,2024-04-23,2019-09-09, Info, Major
Scholarship228,1188,2022-05-23,2019-08-21, Info, Major
Scholarship241,1121,2014-10-16,2019-04-23, Info, Major
Scholarship251,865,2017-10-08,2019-12-21, Info, Major
Scholarship266,2128,2016-06-02,2019-03-24, Info, Major
Scholarship275,1753,2015-07-03,2019-01-19, Info, Major
Scholarship280,1907,2019-05-20,2019-11-27, Info, Major
Scholarship284,1373,2022-11-18,2019-03-17, Info, Major
