Scholarship name, Amount Rewarded, Deadline, Disbursment Date, Required Info, Preffered Majors
Scholarship7,1544,2015-08-22,2021-10-11, Info, Major
Scholarship30,1297,2016-01-06,2021-03-25, Info, Major
Scholarship38,808,2022-12-04,2021-11-05, Info, Major
Scholarship46,1751,2017-03-22,2021-09-03, Info, Major
Scholarship50,1202,2015-12-23,2021-09-15, Info, Major
Scholarship57,2209,2019-10-10,2021-03-13, Info, Major
Scholarship58,2244,2014-06-23,2021-08-09, Info, Major
Scholarship63,2054,2016-06-22,2021-07-01, Info, Major
Scholarship71,1151,2023-12-06,2021-09-05, Info, Major
Scholarship75,1334,2018-11-07,2021-08-13, Info, Major
Scholarship76,2158,2018-07-05,2021-02-14, Info, Major
Scholarship95,1403,2023-09-26,2021-07-11, Info, Major
Scholarship103,1576,2023-07-05,2021-07-04, Info, Major
Scholarship121,1142,2018-04-07,2021-10-24, Info, Major
Scholarship125,1739,2017-10-22,2021-03-17, Info, Major
Scholarship129,1314,2021-09-05,2021-02-28, Info, Major
Scholarship140,1676,2014-09-09,2021-03-12, Info, Major
Scholarship155,639,2016-06-21,2021-04-19, Info, Major
Scholarship157,1701,2018-01-12,2021-01-24, Info, Major
Scholarship158,834,2015-11-01,2021-04-04, Info, Major
Scholarship167,1080,2019-03-28,2021-04-15, Info, Major
Scholarship171,1011,2023-01-28,2021-08-22, Info, Major
Scholarship199,1036,2022-05-15,2021-03-18, Info, Major
Scholarship205,1398,2021-07-17,2021-08-16, Info, Major
Scholarship258,2496,2021-06-09,2021-10-10, Info, Major
Scholarship263,1118,2015-06-10,2021-12-06, Info, Major
Scholarship267,530,2017-12-16,2021-02-20, Info, Major
Scholarship309,1949,2022-11-12,2021-09-11, Info, Major
