Scholarship name, Amount Rewarded, Deadline, Disbursment Date, Required Info, Preffered Majors
Scholarship3,1578,2023-09-15,2016-11-02, Info, Major
Scholarship19,1023,2015-04-07,2016-07-24, Info, Major
Scholarship43,1699,2019-05-02,2016-02-12, Info, Major
Scholarship54,915,2016-08-02,2016-09-13, Info, Major
Scholarship56,1270,2021-07-18,2016-12-17, Info, Major
Scholarship70,1085,2017-10-09,2016-01-06, Info, Major
Scholarship72,2391,2024-07-16,2016-09-25, Info, Major
Scholarship83,2472,2015-09-12,2016-08-12, Info, Major
Scholarship117,2188,2022-12-10,2016-02-10, Info, Major
Scholarship118,2097,2015-07-21,2016-11-10, Info, Major
Scholarship122,2265,2017-05-08,2016-04-19, Info, Major
Scholarship124,869,2023-08-06,2016-01-14, Info, Major
Scholarship128,961,2017-09-17,2016-02-05, Info, Major
Scholarship133,716,2015-05-12,2016-07-04, Info, Major
Scholarship142,2151,2014-05-15,2016-07-01, Info, Major
Scholarship165,1959,2020-02-14,2016-12-16, Info, Major
Scholarship166,982,2016-12-28,2016-08-01, Info, Major
Scholarship168,1893,2024-11-07,2016-12-15, Info, Major
Scholarship176,2327,2023-12-06,2016-12-10, Info, Major
Scholarship179,757,2022-07-16,2016-12-16, Info, Major
Scholarship193,2079,2024-12-17,2016-03-02, Info, Major
Scholarship195,2113,2016-01-08,2016-09-22, Info, Major
Scholarship198,519,2015-07-15,2016-09-17, Info, Major
Scholarship226,1580,2019-08-02,2016-11-12, Info, Major
Scholarship232,2299,2022-10-19,2016-03-28, Info, Major
Scholarship234,532,2019-05-01,2016-05-22, Info, Major
Scholarship256,711,2016-11-04,2016-02-24, Info, Major
Scholarship261,1381,2015-06-07,2016-09-06, Info, Major
Scholarship268,735,2019-11-25,2016-09-05, Info, Major
Scholarship307,1214,2016-11-20,2016-07-07, Info, Major
