Scholarship name, Amount Rewarded, Deadline, Disbursment Date, Required Info, Preffered Majors
Scholarship10,2231,2018-05-15,2018-09-06, Info, Major
Scholarship12,1119,2018-10-09,2018-12-08, Info, Major
Scholarship14,813,2024-06-22,2018-11-14, Info, Major
Scholarship17,575,2017-08-01,2018-02-10, Info, Major
Scholarship18,1929,2022-12-25,2018-03-26, Info, Major
Scholarship25,2203,2023-06-07,2018-03-12, Info, Major
Scholarship37,802,2019-11-08,2018-05-06, Info, Major
Scholarship61,796,2020-04-18,2018-10-20, Info, Major
Scholarship65,1766,2020-09-23,2018-01-20, Info, Major
Scholarship79,2078,2020-03-08,2018-02-02, Info, Major
Scholarship81,697,2019-11-13,2018-02-11, Info, Major
Scholarship84,1000,2015-05-12,2018-11-27, Info, Major
Scholarship111,2308,2020-02-16,2018-01-26, Info, Major
Scholarship159,2320,2023-12-26,2018-06-07, Info, Major
Scholarship175,1102,2017-08-05,2018-08-21, Info, Major
Scholarship200,2425,2022-03-11,2018-12-06, Info, Major
Scholarship217,1774,2014-11-14,2018-05-01, Info, Major
Scholarship220,2106,2020-09-01,2018-01-07, Info, Major
Scholarship225,1260,2017-07-05,2018-02-18, Info, Major
Scholarship243,1747,2020-05-16,2018-02-25, Info, Major
Scholarship254,740,2017-09-23,2018-01-15, Info, Major
Scholarship259,1648,2022-04-18,2018-04-09, Info, Major
Scholarship288,1445,2024-12-16,2018-05-28, Info, Major
Scholarship304,2300,2015-12-23,2018-09-18, Info, Major
Scholarship305,1806,2019-07-07,2018-01-27, Info, Major
