Scholarship name, Amount Rewarded, Deadline, Disbursment Date, Required Info, Preffered Majors
Scholarship5,1397,2014-04-24,2015-07-06, Info, Major
Scholarship99,1572,2014-02-16,2015-02-22, Info, Major
Scholarship135,1572,2014-10-20,2015-04-28, Info, Major
Scholarship186,2330,2015-01-06,2015-05-12, Info, Major
Scholarship383,2081,2014-01-03,2015-12-27, Info, Major
Scholarship522,2306,2015-01-27,2015-08-15, Info, Major
Scholarship525,1731,2015-04-04,2015-07-17, Info, Major
Scholarship543,2331,2015-07-25,2015-11-28, Info, Major
Scholarship592,914,2014-07-22,2015-07-04, Info, Major
Scholarship815,1020,2014-11-23,2015-05-28, Info, Major
Scholarship838,1850,2014-12-22,2015-12-16, Info, Major
Scholarship886,1314,2015-03-11,2015-08-26, Info, Major
Scholarship1012,2014,2014-11-04,2015-05-08, Info, Major
Scholarship1041,1404,2015-02-27,2015-12-03, Info, Major
Scholarship1110,2236,2015-07-10,2015-08-23, Info, Major
Scholarship1129,2337,2014-01-21,2015-02-02, Info, Major
Scholarship1148,539,2014-04-18,2015-09-01, Info, Major
Scholarship1268,1821,2015-01-19,2015-06-09, Info, Major
Scholarship1326,1925,2015-07-09,2015-12-22, Info, Major
Scholarship1444,579,2014-01-11,2015-09-13, Info, Major
Scholarship1470,1685,2015-01-07,2015-03-17, Info, Major
Scholarship1471,1099,2014-07-22,2015-10-15, Info, Major
Scholarship1654,836,2014-12-04,2015-02-28, Info, Major
Scholarship1780,1909,2014-11-03,2015-08-15, Info, Major
Scholarship1782,1111,2015-10-03,2015-10-05, Info, Major
Scholarship1941,1540,2014-01-21,2015-08-04, Info, Major
Scholarship2014,989,2014-10-13,2015-08-07, Info, Major
Scholarship2061,1586,2014-02-23,2015-06-19, Info, Major
Scholarship2102,2256,2014-07-12,2015-11-02, Info, Major
Scholarship2565,1639,2014-12-17,2015-09-23, Info, Major
Scholarship2580,1528,2014-06-05,2015-08-15, Info, Major
Scholarship2750,948,2014-02-11,2015-12-19, Info, Major
Scholarship2907,2340,2014-09-01,2015-10-18, Info, Major
Scholarship2968,2379,2015-02-19,2015-08-11, Info, Major
Scholarship2986,626,2014-09-18,2015-07-06, Info, Major
Scholarship3010,1211,2014-10-08,2015-05-04, Info, Major
Scholarship3030,1611,2015-02-03,2015-05-03, Info, Major
Scholarship3094,911,2014-11-12,2015-12-26, Info, Major
Scholarship3125,914,2014-04-17,2015-09-17, Info, Major
