Scholarship name, Amount Rewarded, Deadline, Disbursment Date, Required Info, Preffered Majors
Scholarship12,1227,2015-08-20,2016-02-08, Info, Major
Scholarship104,2185,2015-04-18,2016-07-06, Info, Major
Scholarship124,2413,2015-10-07,2016-11-23, Info, Major
Scholarship173,2074,2014-09-07,2016-02-12, Info, Major
Scholarship200,1227,2015-06-12,2016-10-26, Info, Major
Scholarship299,1745,2015-11-04,2016-05-03, Info, Major
Scholarship341,1218,2014-11-18,2016-06-09, Info, Major
Scholarship394,2267,2014-07-15,2016-03-07, Info, Major
Scholarship507,1193,2014-01-04,2016-10-21, Info, Major
Scholarship540,870,2015-01-02,2016-08-26, Info, Major
Scholarship615,1883,2016-04-16,2016-08-02, Info, Major
Scholarship701,1084,2014-09-16,2016-07-14, Info, Major
Scholarship708,945,2014-08-04,2016-09-02, Info, Major
Scholarship829,775,2015-09-28,2016-09-27, Info, Major
Scholarship848,1359,2015-08-21,2016-09-02, Info, Major
Scholarship859,2108,2015-07-24,2016-08-16, Info, Major
Scholarship861,2371,2015-09-15,2016-08-11, Info, Major
Scholarship913,1223,2016-01-09,2016-01-23, Info, Major
Scholarship944,1148,2014-04-28,2016-09-07, Info, Major
Scholarship1045,1440,2014-11-27,2016-04-23, Info, Major
Scholarship1091,2432,2015-01-03,2016-04-10, Info, Major
Scholarship1113,2391,2016-06-08,2016-09-26, Info, Major
Scholarship1116,828,2015-01-03,2016-10-02, Info, Major
Scholarship1200,2023,2014-01-21,2016-09-24, Info, Major
Scholarship1214,1315,2016-10-17,2016-11-16, Info, Major
Scholarship1275,2136,2016-03-18,2016-07-25, Info, Major
Scholarship1332,2225,2016-04-17,2016-08-01, Info, Major
Scholarship1368,2186,2015-02-24,2016-10-19, Info, Major
Scholarship1560,2043,2015-09-13,2016-12-14, Info, Major
Scholarship1572,1072,2014-08-19,2016-11-14, Info, Major
Scholarship1603,1401,2014-05-14,2016-11-10, Info, Major
Scholarship1610,1637,2016-09-04,2016-10-26, Info, Major
Scholarship1757,1354,2015-05-24,2016-04-28, Info, Major
Scholarship1763,2275,2015-03-08,2016-03-23, Info, Major
Scholarship1846,1209,2015-05-26,2016-10-07, Info, Major
Scholarship1865,1059,2014-06-07,2016-07-24, Info, Major
Scholarship1915,1548,2014-12-11,2016-07-14, Info, Major
Scholarship1927,1303,2014-01-21,2016-05-26, Info, Major
Scholarship2000,2236,2015-03-11,2016-05-19, Info, Major
Scholarship2009,1307,2015-04-27,2016-05-18, Info, Major
Scholarship2095,2259,2016-02-03,2016-08-06, Info, Major
Scholarship2099,1432,2015-10-18,2016-01-15, Info, Major
Scholarship2154,2490,2015-12-24,2016-03-18, Info, Major
Scholarship2162,2169,2015-11-15,2016-10-18, Info, Major
Scholarship2165,900,2014-05-12,2016-04-13, Info, Major
Scholarship2173,1011,2014-12-26,2016-12-22, Info, Major
Scholarship2245,2026,2015-11-09,2016-07-14, Info, Major
Scholarship2527,984,2014-02-15,2016-01-11, Info, Major
Scholarship2531,1218,2015-06-06,2016-07-18, Info, Major
Scholarship2582,2033,2015-05-12,2016-05-09, Info, Major
Scholarship2609,1993,2015-06-23,2016-04-23, Info, Major
Scholarship2649,1168,2014-12-19,2016-01-21, Info, Major
Scholarship2723,1384,2014-06-04,2016-06-02, Info, Major
Scholarship2736,1334,2014-01-20,2016-08-22, Info, Major
Scholarship2900,671,2015-07-21,2016-06-04, Info, Major
Scholarship2980,1134,2015-03-01,2016-02-14, Info, Major
Scholarship3022,2265,2015-09-07,2016-08-08, Info, Major
Scholarship3032,1863,2014-02-03,2016-04-14, Info, Major
Scholarship3059,2337,2014-10-03,2016-02-21, Info, Major
Scholarship3067,1574,2015-12-12,2016-08-20, Info, Major
Scholarship3088,924,2016-01-10,2016-01-22, Info, Major
Scholarship3111,916,2015-08-21,2016-07-11, Info, Major
