Scholarship name, Amount Rewarded, Deadline, Disbursment Date, Required Info, Preffered Majors
Scholarship3,1400,2018-09-26,2019-10-10, Info, Major
Scholarship7,2459,2018-12-24,2019-08-21, Info, Major
Scholarship19,549,2018-09-27,2019-04-02, Info, Major
Scholarship52,794,2017-05-25,2019-10-04, Info, Major
Scholarship68,884,2019-04-26,2019-12-26, Info, Major
Scholarship74,1645,2015-12-22,2019-04-23, Info, Major
Scholarship85,1963,2017-08-19,2019-12-13, Info, Major
Scholarship92,2369,2018-11-17,2019-12-10, Info, Major
Scholarship114,1619,2019-08-23,2019-11-15, Info, Major
Scholarship125,2172,2015-02-19,2019-02-18, Info, Major
Scholarship131,1510,2019-05-21,2019-08-10, Info, Major
Scholarship153,530,2014-09-20,2019-06-04, Info, Major
Scholarship158,1857,2015-04-13,2019-10-10, Info, Major
Scholarship168,2267,2016-02-25,2019-07-09, Info, Major
Scholarship272,791,2018-09-04,2019-09-12, Info, Major
Scholarship284,1477,2017-02-01,2019-05-13, Info, Major
Scholarship335,1038,2015-11-25,2019-12-11, Info, Major
Scholarship336,1421,2018-06-26,2019-05-02, Info, Major
Scholarship344,2069,2015-03-20,2019-04-20, Info, Major
Scholarship378,1941,2017-01-12,2019-05-21, Info, Major
Scholarship381,2185,2017-11-12,2019-06-21, Info, Major
Scholarship399,802,2017-07-08,2019-03-02, Info, Major
Scholarship442,1759,2017-12-20,2019-10-23, Info, Major
Scholarship445,1365,2017-06-27,2019-01-28, Info, Major
Scholarship462,1592,2019-01-28,2019-06-20, Info, Major
Scholarship499,1683,2015-07-03,2019-12-04, Info, Major
Scholarship518,1497,2016-10-26,2019-03-26, Info, Major
Scholarship548,975,2017-05-22,2019-05-07, Info, Major
Scholarship566,1893,2019-12-10,2019-12-16, Info, Major
Scholarship630,1984,2015-05-24,2019-12-11, Info, Major
Scholarship684,1871,2016-07-17,2019-11-03, Info, Major
Scholarship768,2282,2015-05-22,2019-02-18, Info, Major
Scholarship771,2138,2018-08-14,2019-07-24, Info, Major
Scholarship783,2314,2014-06-08,2019-08-13, Info, Major
Scholarship790,846,2015-04-14,2019-09-02, Info, Major
Scholarship792,1267,2015-07-25,2019-03-25, Info, Major
Scholarship801,1997,2018-02-16,2019-07-04, Info, Major
Scholarship803,1914,2014-05-27,2019-06-28, Info, Major
Scholarship809,1097,2018-09-06,2019-05-27, Info, Major
Scholarship818,1316,2015-02-12,2019-07-03, Info, Major
Scholarship820,619,2016-11-01,2019-09-26, Info, Major
Scholarship844,1288,2017-10-08,2019-02-09, Info, Major
Scholarship857,1644,2017-03-03,2019-09-17, Info, Major
Scholarship869,2365,2017-06-03,2019-11-22, Info, Major
Scholarship872,1539,2017-09-26,2019-08-14, Info, Major
Scholarship903,2336,2019-07-05,2019-08-07, Info, Major
Scholarship905,2130,2018-04-24,2019-01-28, Info, Major
Scholarship935,1088,2015-12-09,2019-05-11, Info, Major
Scholarship945,2448,2019-01-10,2019-07-25, Info, Major
Scholarship946,920,2019-02-02,2019-03-06, Info, Major
Scholarship969,1857,2018-11-20,2019-07-11, Info, Major
